ID,PDB_ID,Subset,Complex_Type,Resolution,Affinity_Data,pKd_pKi_pIC50,Release_Year,Protein_Name,Pubmed_ID,Pubchem_SID,Reference,UniProt_AC,Formula,Molecular_Weight,Exact_Mass,No._of_atoms,No._of_bonds,Polar_Surface_Area,XLOGP3,open_banel_LogP,HB_donor,HB_acceptor,Rotatable_bonds,SMILES
74,1bai,refined,Protein-Ligand,2.4,Ki=20nM,7.7,1999,rous sarcoma virus protease,9521772,46391530,"Biochemistry v37 pp. 4518-26, 1998",P03354 P03322,C40H68N11O9,848.044,847.528,129,129,348.64,1.97,0.59,8,9,33,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CC(C)C)Cc1ccccc1)CCC(=O)O)C
75,1bcd,refined,Protein-Ligand,1.9,Ki=2nM,8.7,1993,carbonic anhydrase ii,8070585,46391534,"FEBS Lett. v350 pp. 319-22, 1994",P00918,CH2NO2SF3,149.092,148.976,10,9,68.54,0.14,1.58,1,2,0,FC(S(=O)(=O)N)(F)F
76,1bcu,refined,Protein-Ligand,2,Kd=0.53mM,3.28,1998,thrombin alpha,9559654,46391536,"FEBS Lett. v425 pp. 229-33, 1998",P01050 P00734,C13H11N3,209.247,209.095,27,29,64.93,2.17,3.71,2,1,0,Nc1ccc2c(c1)nc1c(c2)ccc(c1)N
77,1bdq,refined,Protein-Ligand,2.5,Ki=0.46uM,6.34,1998,HIV-1 protease,9692985,46391538,"Biochemistry v37 pp. 10928-36, 1998",P04587,C31H42N4O4,534.69,534.321,81,83,116.34,4.96,5.75,4,4,17,O=C(OC(C)(C)C)N[C@H]([C@H](C[C@H](C(=O)N[C@H](c1ncc[nH]1)C(C)C)Cc1ccccc1)O)Cc1ccccc1
78,1bgq,refined,Protein-Ligand,2.5,Kd=2.7nM,8.57,1999,heat shock protein 90,9925731,46391541,"J.Med.Chem. v42 pp. 260-6, 1999",P02829,C18H17O6Cl,364.777,364.071,42,44,96.36,3.36,2.69,2,4,2,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(C(=O)O1)c(O)cc(c2Cl)O
79,1bhf,refined,Protein-Ligand,1.8,Kd=42uM,4.38,1998,tyrosine kinase p56lck,9685372,46391542,"J.Biol.Chem. v273 pp. 20238-42, 1998",P06239,C29H36N4O12,636.647,636.264,85,85,265.6,5.34,1.24,4,12,20,CC[C@@H]([C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)CC(=O)O)NC(=O)C)CCC(=O)O)CCC(=O)O)C
80,1bhx,refined,Protein-Ligand,2.3,Ki=0.145uM,6.84,1998,thrombin alpha,9733491,46391543,"J.Med.Chem. v41 pp. 3664-74, 1998",P00734,C19H29N6O4S2,469.601,469.169,60,62,195.27,1.76,0.6,2,4,10,O=C([C@@H]1CS[C@@H]2N1C(=O)[C@@H](CC2)NS(=O)(=O)Cc1ccccc1)NCCC[NH+]=C(N)N
81,1bju,refined,Protein-Ligand,1.8,Ki=16uM,4.8,1998,BETA-TRYPSIN,9836602,53812525,"Biochemistry. 1998, 37, 17068-17081.",P00760,C14H14N4OCl,289.74,289.086,34,35,92.74,3.9,2.29,2,1,5,O=C(Nc1ccc(cc1)Cl)Nc1ccc(cc1)C(=[NH2+])N
82,1bjv,refined,Protein-Ligand,1.8,Ki=2.9uM,5.54,1998,BETA-TRYPSIN,9836602,53812526,"Biochemistry. 1998, 37, 17068-17081.",P00760,C20H19N4O2,347.39,347.151,45,47,101.97,4.8,3.43,2,1,7,O=C(Nc1ccc(cc1)C(=[NH2+])N)Nc1ccc(cc1)Oc1ccccc1
83,1bm7,refined,Protein-Ligand,2,Kd=30nM,7.52,1998,transthyretin,9789022,46391558,"Proc.Natl.Acad.Sci.USA v95 pp. 12956-60, 1998",P02766,C14H9NO2F3,281.23,281.066,30,31,49.33,5.51,4.22,1,2,2,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
84,1bma,refined,Protein-Ligand,1.8,Ki=26uM,4.59,1995,elastase,7604279,46391559,"Science v269 pp. 66-9, 1995",P00772,C27H36N4O3F3,521.595,521.274,73,74,87.3,5.5,5.37,3,3,14,CC(C[C@@H](C(=O)N[N@+](Cc1ccccc1)(CC(=O)Nc1ccc(cc1)C(C)C)C)NC(=O)C(F)(F)F)C
85,1bn1,refined,Protein-Ligand,2.1,Kd=0.46nM,9.34,1999,carbonic anhydrase ii,9865942,46391565,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C12H14N2O4S3,346.446,346.012,35,36,151.33,1.66,4.44,2,4,5,Cc1ccc(cc1)CNS(=O)(=O)c1ccc(s1)S(=O)(=O)N
86,1bn3,refined,Protein-Ligand,2.2,Kd=0.13nM,9.89,1999,carbonic anhydrase ii,9865942,46391566,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C13H12N2O5S3,372.44,371.991,35,37,151.77,1.65,4.51,1,4,3,COc1cccc(c1)N1C=Cc2c(S1(=O)=O)sc(c2)S(=O)(=O)N
87,1bn4,refined,Protein-Ligand,2.1,Kd=0.49nM,9.31,1999,carbonic anhydrase ii,9865942,46391567,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C12H14N2O5S3,362.445,362.006,36,37,160.56,1.26,4.14,2,4,6,COc1ccc(cc1)CNS(=O)(=O)c1ccc(s1)S(=O)(=O)N
88,1bnn,refined,Protein-Ligand,2.3,Kd=0.10nM,10,1999,carbonic anhydrase ii,9865942,46391569,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C13H14N2O5S3,374.456,374.006,37,39,151.77,1.55,4.08,1,4,3,COc1cccc(c1)N1CCc2c(S1(=O)=O)sc(c2)S(=O)(=O)N
89,1bnq,refined,Protein-Ligand,2.4,Kd=0.32nM,9.49,1999,carbonic anhydrase ii,9865942,46391570,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C11H20N3O5S3,370.489,370.057,42,43,168.38,-0.62,1.47,2,4,6,COCCN1C[C@H]([NH2+]CC)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N
90,1bnt,refined,Protein-Ligand,2.15,Kd=0.16nM,9.8,1999,carbonic anhydrase ii,9865942,46391571,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C13H14N2O6S3,390.455,390.001,38,40,172,0.43,3.57,2,5,4,COc1ccc(cc1)N1C[C@H](O)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N
91,1bnu,refined,Protein-Ligand,2.15,Kd=0.20nM,9.7,1999,carbonic anhydrase ii,9865942,46391572,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C11H12N2O5S4,380.483,379.963,34,36,191.01,0.12,3.49,2,5,4,O[C@H]1CN(Cc2cccs2)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
92,1bnv,refined,Protein-Ligand,2.4,Kd=1.70nM,8.77,1999,carbonic anhydrase ii,9865942,46391573,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C14H18N3O5S3,404.505,404.041,43,45,168.38,0.69,2.77,2,4,4,C[NH2+][C@@H]1CN(c2cccc(c2)OC)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
93,1bnw,refined,Protein-Ligand,2.25,Kd=0.83nM,9.08,1999,carbonic anhydrase ii,9865942,46391574,"Protein Sci. v7 pp. 2483-9, 1998",P00918,C9H10N2O4S4,338.447,337.952,29,30,179.57,1.01,4.19,2,4,5,O=S(=O)(c1ccc(s1)S(=O)(=O)N)NCc1cccs1
94,1bp0,refined,Protein-Ligand,2.4,Kd=4.0uM,5.4,1998,thymidylate synthase,10653645,46391576,"Biochemistry v39 pp. 1011-20, 2000",P00469,C9H11N2O8P,309.19,309.049,34,35,167.83,-3.14,-2.14,2,6,4,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(=O)[nH]c1=O
95,1bq4,refined,Protein-Ligand,2.5,Ki=6uM,5.22,1998,phosphoglycerate mutase 1,10369755,46391578,"J.Mol.Biol. v289 pp. 691-9, 1999",P00950,C12O12,342.169,341.986,30,30,223.8,5.58,-0.12,0,12,0,OC(=O)c1c(C(=O)O)c(C(=O)O)c(c(c1C(=O)O)C(=O)O)C(=O)O
96,1br6,refined,Protein-Ligand,2.3,Ki=0.6mM,3.22,1998,ricin,9086280,46391583,"J.Mol.Biol. v266 pp. 1043-9, 1997",P02879,C14H11N6O3,312.283,312.097,35,37,146.88,0.77,1.26,3,5,3,OC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(=O)[nH]c(n2)N
97,1bty,refined,Protein-Ligand,1.5,Ki=18.4uM,4.74,1995,bovine trypsin,12036355,0,"(2002) J. Med. Chem., Vol.45, pp.2469-2483",P00760,C7H9N2,121.16,121.077,18,18,51.61,2.71,-0.15,0,0,1,NC(=[NH2+])c1ccccc1
98,1bv7,refined,Protein-Ligand,2,Ki=0.05nM,10.3,1998,HIV-1 protease,9790666,46391589,"Biochemistry v37 pp. 15042-9, 1998",P04585,C41H38N6O5S2,758.908,758.235,92,98,204.47,5.7,6.51,4,7,16,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
99,1bv9,refined,Protein-Ligand,2,Ki=0.11nM,9.96,1998,HIV-1 protease,9790666,46391590,"Biochemistry v37 pp. 15042-9, 1998",P04585,C41H38N6O5S2,758.908,758.235,92,98,204.47,5.7,6.51,4,7,16,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
100,1bwa,refined,Protein-Ligand,1.9,Ki=2.5nM,8.6,1998,HIV-1 protease,9790666,46391591,"Biochemistry v37 pp. 15042-9, 1998",P04585,C41H38N6O5S2,758.908,758.235,92,98,204.47,5.7,6.51,4,7,16,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
101,1bwb,refined,Protein-Ligand,1.8,Ki=3.8nM,8.42,1998,HIV-1 protease,9790666,46391592,"Biochemistry v37 pp. 15042-9, 1998",P04585,C49H44N8O5,824.924,824.343,106,114,179.57,6.77,7.35,6,7,16,O=C1N(Cc2cccc(c2)C(=O)Nc2nc3c([nH]2)cccc3)[C@H](Cc2ccccc2)[C@@H]([C@H]([C@H](N1Cc1cccc(c1)C(=O)Nc1nc2c([nH]1)cccc2)Cc1ccccc1)O)O
102,1bxo,refined,Protein-Ligand,0.95,Ki=0.10nM,10,1998,penicillopepsin,9836576,46391594,"Biochemistry v37 pp. 16839-45, 1998",P00798,C30H46N4O9P,639.697,639.316,92,93,205.98,2.11,3.15,4,7,12,COC(=O)[C@@H]1Cc2cccc(c2)CNC(=O)C[C@@H](C(=O)N[C@H](P(O1)(O)O)CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C
103,1bxq,refined,Protein-Ligand,1.41,Ki=42nM,7.38,1998,penicillopepsin,9836576,46391595,"Biochemistry v37 pp. 16839-45, 1998",P00798,C29H46N4O9P,627.687,627.316,91,91,219.97,2.14,3.44,4,7,22,COC(=O)[C@@H](OP([C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(=O)N)CC(C)C)(O)O)Cc1ccccc1
104,1bxr,refined,Protein-Ligand,2.1,Ki=0.4mM,3.4,1999,carbamoyl-phosphate synthase,10029528,46391596,"Biochemistry v38 pp. 2347-57, 1999",P00968 P0A6F1,C10H13N6O12P3,509.22,509.035,51,53,332.18,-6.35,-2.4,4,12,9,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
105,1bzc,refined,Protein-Ligand,2.35,Ki=12uM,4.92,1999,tyrosine phosphatase 1b,9922143,46391598,"Biochemistry v37 pp. 17773-83, 1998",P18031,C17H14N2O7PF2,431.305,431.082,47,48,183.77,1.28,2.17,2,7,7,OC(=O)CC[C@@H](C(=O)N)NC(=O)c1ccc2c(c1)ccc(c2)C(P(O)(O)O)(F)F
106,1bzj,refined,Protein-Ligand,2.25,Ki=22uM,4.66,1999,tyrosine phosphatase 1b,9922143,46391601,"Biochemistry v37 pp. 17773-83, 1998",P18031,C12H6O5PF2,303.175,303.023,30,31,111.58,2.33,2.33,0,5,1,OC(=O)c1ccc2c(c1)ccc(c2)C(P(O)(O)O)(F)F
107,1bzy,refined,Protein-Ligand,2,Kd=4.6nM,8.34,1999,hypoxanthine-guanine phosphoribosyltransferase,10360366,46391603,"Nat.Struct.Biol. v6 pp. 588-93, 1999",P00492,C11H15N5O7P,363.264,363.094,42,44,228.14,-6.97,-1.64,6,6,5,O[C@H]1[C@@H]([NH2+][C@@H]([C@H]1O)COP(O)(O)O)c1c[nH]c2c1nc(N)[nH]c2=O
108,1c1r,refined,Protein-Ligand,1.37,Ki=0.0235uM,7.63,2000,trypsin beta,9468142,46391605,"Nature v391 pp. 608-12, 1998",P00760,C16H15N6,291.331,291.136,37,40,108.97,3.83,1.19,2,2,3,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cccc2
109,1c1u,refined,Protein-Ligand,1.75,Ki=0.0056uM,8.25,2000,thrombin alpha,9468142,46391606,"Nature v391 pp. 608-12, 1998",P28504 P00734,C16H15N6,291.331,291.136,37,40,108.97,3.83,1.19,2,2,3,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cccc2
110,1c1v,refined,Protein-Ligand,1.98,Ki=0.023uM,7.64,2000,thrombin alpha,9468142,46391607,"Nature v391 pp. 608-12, 1998",P28504 P00734,C17H18N8,334.378,334.165,43,46,160.58,4.62,-0.64,2,2,4,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cc(cc2)C(=[NH2+])N
111,1c3x,refined,Protein-Ligand,2.4,Ki=210uM,3.68,1999,pentosyltransferase,10600382,46391614,"J.Mol.Biol. v294 pp. 1239-55, 1999",P81989,C5H4N5OI,277.023,276.946,16,17,100.45,-0.39,0.41,3,2,0,Ic1[nH]c2c(n1)c(=O)[nH]c(n2)N
112,1c4u,refined,Protein-Ligand,2.1,Ki=0.043nM,10.37,2000,thrombin alpha,10713516,46391615,"Acta Crystallogr., Sect.D v56 pp. 294-303, 2000",P28504 P00734,C23H30N6O5SBr,582.49,581.118,66,69,172.16,3.27,1.37,1,5,9,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccc(cc1)Br)NC[C@@H]1CC[C@H](CC1)C(=[NH2+])N
113,1c5c,refined,Protein-Ligand,1.61,Kd=110nM,6.96,2000,chimeric decarboxylase antibody 21d8,11183784,46391619,"J.Mol.Biol. v302 pp. 1213-25, 2000",,C12H9NO7S2,349.38,349.029,37,38,201.08,0.56,4.04,1,7,2,CC(=O)Nc1ccc2c(c1S(O)(O)O)cccc2S(O)(O)O
114,1c5n,refined,Protein-Ligand,1.5,Ki=20uM,4.7,2000,thrombin alpha,10779411,46391621,"Chem.Biol. v7 pp. 299-312, 2000",P28504 P00734,C9H8N2SI,303.143,302.945,21,22,79.85,4.41,1.67,0,0,1,Ic1cccc2c1cc(s2)C(=[NH2+])N
115,1c5o,refined,Protein-Ligand,1.9,Ki=320uM,3.49,2000,thrombin alpha,10779411,46391622,"Chem.Biol. v7 pp. 299-312, 2000",P28504 P00734,C7H9N2,121.16,121.077,18,18,51.61,2.71,-0.15,0,0,1,NC(=[NH2+])c1ccccc1
116,1c5p,refined,Protein-Ligand,1.43,Ki=21uM,4.68,2000,trypsin beta,10779411,46391623,"Chem.Biol. v7 pp. 299-312, 2000",P00760,C7H9N2,121.16,121.077,18,18,51.61,2.71,-0.15,0,0,1,NC(=[NH2+])c1ccccc1
117,1c5q,refined,Protein-Ligand,1.43,Ki=0.44uM,6.36,2000,trypsin beta,10779411,46391624,"Chem.Biol. v7 pp. 299-312, 2000",P00760,C9H8N2SI,303.143,302.945,21,22,79.85,4.41,1.67,0,0,1,Ic1cccc2c1cc(s2)C(=[NH2+])N
118,1c5s,refined,Protein-Ligand,1.36,Ki=1.0uM,6,2000,trypsin beta,10779411,46391625,"Chem.Biol. v7 pp. 299-312, 2000",P00760,C9H9N2S,177.246,177.049,21,22,79.85,3.76,1.07,0,0,1,NC(=[NH2+])c1cc2c(s1)cccc2
119,1c5t,refined,Protein-Ligand,1.37,Ki=80uM,4.1,2000,trypsin beta,10779411,46391626,"Chem.Biol. v7 pp. 299-312, 2000",P00760,C8H8N3S,178.234,178.044,20,21,92.74,3.03,0.46,0,1,1,NC(=[NH2+])c1cc2c(s1)nccc2
120,1c5x,refined,Protein-Ligand,1.75,Ki=0.21uM,6.68,2000,urokinase-type plasminogen activator,10779411,46391627,"Chem.Biol. v7 pp. 299-312, 2000",P00749,C9H8N2SI,303.143,302.945,21,22,79.85,4.41,1.67,0,0,1,Ic1cccc2c1cc(s2)C(=[NH2+])N
121,1c5y,refined,Protein-Ligand,1.65,Ki=63uM,4.2,2000,urokinase-type plasminogen activator,10779411,46391628,"Chem.Biol. v7 pp. 299-312, 2000",P00749,C8H8N3S,178.234,178.044,20,21,92.74,3.03,0.46,0,1,1,NC(=[NH2+])c1cc2c(s1)nccc2
122,1c70,refined,Protein-Ligand,2.5,Ki=0.05nM,10.3,2000,HIV-1 protease,10739910,46391631,"Acta Crystallogr., Sect.D v56 pp. 381-8, 2000",O92103,C39H50N4O5,654.838,654.378,98,103,120.68,4.3,5.3,6,4,16,O[C@@H](C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1)C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cc2c(o1)cccc2
123,1c83,refined,Protein-Ligand,1.8,Ki=14uM,4.85,2000,tyrosine phosphatase 1b,10702277,46391634,"J.Biol.Chem. v275 pp. 7101-8, 2000",P18031,C11H6N2O5,248.192,248.043,26,27,119.49,2.99,0.96,2,5,2,O=C(C(=O)O)Nc1cc2[nH]ccc2cc1C(=O)O
124,1c84,refined,Protein-Ligand,2.35,Ki=9.9uM,5,2000,tyrosine phosphatase 1b,10702277,46391635,"J.Biol.Chem. v275 pp. 7101-8, 2000",P18031,C13H7NO5,259.214,259.048,28,29,103.7,4.12,1.63,1,5,2,OC(=O)C(=O)Nc1cc2ccccc2cc1C(=O)O
125,1c86,refined,Protein-Ligand,2.3,Ki=20uM,4.7,2000,tyrosine phosphatase 1b,10744717,46391637,"J.Biol.Chem. v275 pp. 10300-7, 2000",P18031,C10H7NO6S,271.247,271.015,27,28,141.17,2.6,0.62,1,5,2,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CCOC2
126,1c87,refined,Protein-Ligand,2.1,Ki=63uM,4.2,2000,tyrosine phosphatase 1b,10744717,46391638,"J.Biol.Chem. v275 pp. 10300-7, 2000",P18031,C10H7NO6S,271.247,271.015,27,28,141.17,2.6,0.62,1,5,2,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CCOC2
127,1c88,refined,Protein-Ligand,1.8,Ki=5.1uM,5.29,2000,tyrosine phosphatase 1b,10744717,46391639,"J.Biol.Chem. v275 pp. 10300-7, 2000",P18031,C10H9N2O5S,271.27,271.039,29,30,148.55,0.04,0.73,2,5,2,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
128,1cbx,refined,Protein-Ligand,2,Ki=0.45uM,6.35,1994,carboxypeptidase a,1738164,46391646,"J.Mol.Biol. v223 pp. 573-8, 1992",P00730,C11H10O4,208.211,208.074,27,27,74.6,3.86,1.4,0,4,3,OC(=O)[C@H](Cc1ccccc1)CC(=O)O
129,1ceb,refined,Protein-Ligand,2.1,Kd=1uM,6,1996,plasminogen,8611560,46391649,"Biochemistry v35 pp. 2567-76, 1996",P00747,C8H15NO2,158.218,158.118,27,27,64.94,-0.8,0.12,1,2,1,[NH3+]C[C@@H]1CC[C@H](CC1)C(=O)O
130,1cet,refined,Protein-Ligand,2.05,Ki=1.3mM,2.89,1999,lactate dehydrogenase,10187806,46391650,"J.Biol.Chem. v274 pp. 10213-8, 1999",Q27743,C18H27N3Cl,320.88,320.189,49,50,29.36,4.72,3.47,2,1,8,CC[NH+](CCC[C@H](Nc1ccnc2c1ccc(c2)Cl)C)CC
131,1cgl,refined,Protein-Ligand,2.4,Ki=0.135uM,6.87,1995,adenosine deaminase,8278810,46391651,"Science v263 pp. 375-7, 1994",P03956,C33H48N5O7,627.771,627.363,94,96,164.11,1.67,2.23,5,5,21,CC(C[C@@H](C(=O)N[C@H](C(=O)NCC[NH+]1CCOCC1)Cc1ccccc1)[NH2+][C@@H](C(=O)O)CCNC(=O)OCc1ccccc1)C
132,1ciz,refined,Protein-Ligand,1.64,Ki=36nM,7.44,1999,stromelysin-1,10422833,46391657,"Protein Sci. v8 pp. 1455-62, 1999",P08254,C28H28N3O4S,503.613,503.188,65,69,110.88,5.84,6.06,2,4,7,OC(=O)[C@H](NS(=O)(=O)c1ccc(cc1)N1CC[C@H](CC1)c1ccccc1)Cc1c[nH]c2c1cccc2
133,1cnw,refined,Protein-Ligand,2,Kd=19nM,7.72,1995,carbonic anhydrase ii,7608893,46391662,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918,C15H25N4O6S,389.447,389.149,51,51,172.84,-2.13,0.02,4,4,14,[NH3+]CC(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N
134,1cnx,refined,Protein-Ligand,1.9,Kd=43nM,7.37,1995,carbonic anhydrase ii,7608893,46391663,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918,C13H22N3O5S,332.396,332.128,44,44,143.74,-1.47,0.51,3,3,11,[NH3+]CCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N
135,1cny,refined,Protein-Ligand,2.3,Kd=14nM,7.85,1995,carbonic anhydrase ii,7608893,46391664,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918,C22H31N4O6S,479.57,479.196,64,65,172.84,-0.14,1.63,4,4,16,[NH3+][C@H](C(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N)Cc1ccccc1
136,1cps,refined,Protein-Ligand,2.25,Ki=0.22uM,6.66,1993,carboxypeptidase a,1527041,46391667,"J.Biol.Chem. v267 pp. 19192-7, 1992",P00730,C11H15N2O2S,240.322,240.093,32,32,93.38,4.86,3.09,0,2,4,OC(=O)[C@@H](CS(=N)(=N)C)Cc1ccccc1
137,1ctt,refined,Protein-Ligand,2.2,Ki=30uM,4.52,1995,cytidine deaminase,7718553,46391676,"Biochemistry v34 pp. 4516-23, 1995",P0ABF6,C9H14N2O5,230.218,230.09,30,31,102.26,-1.96,-1.77,4,4,5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=CCNC1=O
138,1ctu,refined,Protein-Ligand,2.3,Ki=1.2pM,11.92,1995,cytidine deaminase,7718553,46391677,"Biochemistry v34 pp. 4516-23, 1995",P0ABF6,C9H14N2O6,246.217,246.085,31,32,122.49,-2.51,-2.45,5,5,6,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C[C@H](NC1=O)O
139,1d09,refined,Protein-Ligand,2.1,Ki=27nM,7.57,2000,aspartate carbamoyltransferase,10651286,46391689,"Proteins v37 pp. 729-42, 1999",P0A786 P0A7F3,C6H6NO8P,256.127,256.022,27,26,177.98,-0.96,-1.84,1,8,4,O=C(CP(O)(O)O)N[C@H](C(=O)O)CC(=O)O
140,1d2e,refined,Protein-Ligand,1.94,Kd=1uM,6,1999,elongation factor tu (ef-tu),10715211,46391691,"J.Mol.Biol. v297 pp. 421-36, 2000",P49410,C10H12N5O11P2,445.216,445.04,45,47,286.07,-5.72,-2.75,4,9,7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
141,1d3d,refined,Protein-Ligand,2.04,Kd=0.81nM,9.09,2000,thrombin alpha,10739244,46391692,"Protein Sci. v9 pp. 29-36, 2000",P01050 P00734,C32H37N2O2SBr,593.617,592.176,75,80,66.58,7.68,8,3,1,10,Oc1ccc2c(c1)sc(c2Cc1ccc(c(c1)Br)C[NH+]1CCCC1)c1ccc(cc1)OCC[NH+]1CCCC1
142,1d3p,refined,Protein-Ligand,2.1,Kd=41nM,7.39,2000,thrombin alpha,10739244,46391693,"Protein Sci. v9 pp. 29-36, 2000",P01050 P00734,C32H39N3O3S,545.735,545.271,78,83,88.7,6.43,6.51,3,2,12,Oc1ccc2c(c1)sc(c2Cc1ccc(cc1)OCC[NH+]1CCCC1)c1ccc(nc1)OCC[NH+]1CCCC1
143,1d4h,refined,Protein-Ligand,1.81,Ki=0.10nM,10,2002,hiv-1 protease,12694187,46391696,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C36H38N2O7,610.696,610.268,83,87,137.35,3.43,3.75,5,5,19,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1ccccc1)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
144,1d4i,refined,Protein-Ligand,1.81,Ki=1.40nM,8.85,2002,hiv-1 protease,12694187,46391697,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C38H40N2O7,636.733,636.284,87,92,137.35,3.86,4.24,5,5,18,O=C([C@@H](C[C@H]([C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)OCc1ccccc1)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
145,1d4j,refined,Protein-Ligand,1.81,Ki=4.40nM,8.36,2002,hiv-1 protease,12694187,46391698,"Eur.J.Biochem. v270 pp. 1746-58, 2003",P03366,C36H36N2O7FCl,663.132,662.22,83,87,137.35,4.16,4.54,5,5,19,O=C([C@@H]([C@@H]([C@H]([C@H](C(=O)NCc1c(F)cccc1Cl)OCc1ccccc1)O)O)OCc1ccccc1)N[C@@H]1[C@H](O)Cc2c1cccc2
146,1d4k,refined,Protein-Ligand,1.85,Ki=0.6nM,9.22,2000,HIV-1 protease,11000004,46391699,"J.Med.Chem. v43 pp. 3495-504, 2000",P03369,C41H55N4O6,699.899,699.412,106,110,153.6,4.94,3.8,6,5,14,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H](C[C@H](C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)Cc2ccccc2)O)Cc2ccc(cc2)OCCCCCNC1=O)C
147,1d4l,refined,Protein-Ligand,1.75,Ki=1.7nM,8.77,2000,HIV-1 protease,11000004,46391700,"J.Med.Chem. v43 pp. 3495-504, 2000",P03369,C32H48N4O6S,616.812,616.329,91,93,159.44,4.26,5.81,4,5,10,CC(CCN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@H](C(=O)N1)C(C)C)O)C
148,1d4p,refined,Protein-Ligand,2.07,Kd=0.5uM,6.3,1999,thrombin alpha,9232642,46391701,"Protein Sci. v6 pp. 1412-7, 1997",P01050 P00734,C22H25N4O,361.46,361.203,52,55,87.71,5.33,2.37,1,1,5,O=C(c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)N1CCC(CC1)Cc1ccccc1
